Date,act1_price,act2_price,act3_price,act4_price,act5_price
14/04/2015,18036.69922,4977.290039,1265.349976,13.67,116.22879
15/04/2015,18112.60938,5011.02002,1275.349976,12.84,116.670502
16/04/2015,18105.76953,5007.790039,1272.900024,12.6,116.109131
17/04/2015,17826.30078,4931.810059,1251.859985,13.89,114.802368
20/04/2015,18034.92969,4994.600098,1264.920044,13.3,117.425117
21/04/2015,17949.58984,5014.100098,1264.150024,13.25,116.790138
22/04/2015,18038.26953,5035.169922,1265.47998,12.71,118.363777
23/04/2015,18058.68945,5056.060059,1271.540039,12.48,119.330048
24/04/2015,18080.14063,5092.080078,1267.540039,12.29,119.891411
27/04/2015,18037.9707,5060.25,1252.699951,13.12,122.072395
28/04/2015,18110.14063,5055.419922,1259.359985,12.41,120.149078
29/04/2015,18035.5293,5023.640137,1246.949951,13.39,118.382187
30/04/2015,17840.51953,4941.419922,1220.130005,14.55,115.170479
01/05/2015,18024.06055,5005.390137,1228.109985,12.7,118.667458
04/05/2015,18070.40039,5016.930176,1233.219971,12.85,118.437393
05/05/2015,17928.19922,4939.330078,1215.420044,14.31,115.768646
06/05/2015,17841.98047,4919.640137,1219.359985,15.15,115.041649
07/05/2015,17924.06055,4945.540039,1225.540039,15.13,115.753204
08/05/2015,18191.10938,5003.549805,1234.930054,12.86,117.93409
11/05/2015,18105.16992,4993.569824,1235.829956,13.85,116.73275
12/05/2015,18068.23047,4976.189941,1233.130005,13.86,116.316917
13/05/2015,18060.49023,4981.689941,1232.280029,13.76,116.446297
14/05/2015,18252.24023,5050.799805,1245.109985,12.74,119.163139
15/05/2015,18272.56055,5048.290039,1243.949951,12.38,118.996811
18/05/2015,18298.88086,5078.439941,1257.52002,12.73,120.309013
19/05/2015,18312.39063,5070.029785,1255.660034,12.85,120.198143
20/05/2015,18285.40039,5071.740234,1257.73999,12.88,120.188896
21/05/2015,18285.74023,5090.790039,1256.73999,12.11,121.417961
22/05/2015,18232.01953,5089.359863,1252.219971,12.13,122.480698
26/05/2015,18041.53906,5032.75,1238.76001,14.06,119.782288
27/05/2015,18162.99023,5106.589844,1254.359985,13.27,122.018639
28/05/2015,18126.11914,5097.97998,1253.099976,13.31,121.778351
29/05/2015,18010.67969,5070.029785,1246.530029,13.84,120.392212
01/06/2015,18040.36914,5082.930176,1249.619995,13.97,120.632462
02/06/2015,18011.93945,5076.52002,1251.800049,14.24,120.096481
03/06/2015,18076.26953,5099.22998,1264.579956,13.66,120.244347
04/06/2015,17905.58008,5059.120117,1251.290039,14.71,119.542023
05/06/2015,17849.46094,5068.459961,1261.01001,14.21,118.88591
08/06/2015,17766.55078,5021.629883,1253.699951,15.29,118.100426
09/06/2015,17764.03906,5013.870117,1249.660034,14.47,117.74926
10/06/2015,18000.40039,5076.689941,1266.930054,13.22,119.098442
11/06/2015,18039.36914,5082.509766,1268.920044,12.85,118.830467
12/06/2015,17898.83984,5051.100098,1265.02002,13.78,117.518242
15/06/2015,17791.16992,5029.970215,1261.040039,15.39,117.287209
16/06/2015,17904.48047,5055.549805,1269.530029,14.81,117.915596
17/06/2015,17935.74023,5064.879883,1268.329956,14.5,117.638382
18/06/2015,18115.83984,5132.950195,1284.680054,13.19,118.174355
19/06/2015,18015.94922,5117,1284.660034,13.96,116.991508
22/06/2015,18119.7793,5153.970215,1292.390015,12.74,117.92485
23/06/2015,18144.07031,5160.089844,1295.800049,12.11,117.38887
24/06/2015,17966.07031,5122.410156,1283.920044,13.26,118.386902
25/06/2015,17890.35938,5112.189941,1283.280029,14.01,117.823212
26/06/2015,17946.67969,5080.509766,1279.800049,14.02,117.130112
29/06/2015,17596.34961,4958.470215,1246.75,18.85,115.078606
30/06/2015,17619.50977,4986.870117,1253.949951,18.23,115.910301
01/07/2015,17757.91016,5013.120117,1256.400024,16.09,116.991508
02/07/2015,17730.10938,5009.209961,1248.26001,16.790001,116.843628
06/07/2015,17683.58008,4991.939941,1246.959961,17.01,116.437035
07/07/2015,17776.91016,4997.459961,1248.050049,16.09,116.150574
08/07/2015,17515.41992,4909.759766,1228.959961,19.66,113.267365
09/07/2015,17548.61914,4922.399902,1234.150024,19.969999,110.957115
10/07/2015,17760.41016,4997.700195,1252.02002,16.83,113.92347
13/07/2015,17977.67969,5071.509766,1265.349976,13.9,116.122849
14/07/2015,18053.58008,5104.890137,1273.329956,13.37,116.076622
15/07/2015,18050.16992,5098.939941,1264.52002,13.23,117.194809
16/07/2015,18120.25,5163.180176,1272.829956,12.11,118.756546
17/07/2015,18086.44922,5210.140137,1267.089966,11.95,119.782288
20/07/2015,18100.41016,5218.859863,1260.219971,12.25,122.046364
21/07/2015,17919.28906,5208.120117,1254.569946,12.22,120.826538
22/07/2015,17851.03906,5171.77002,1258.349976,12.12,115.716232
23/07/2015,17731.91992,5146.410156,1244.969971,12.64,115.660782
24/07/2015,17568.5293,5088.629883,1225.98999,13.74,115.050888
27/07/2015,17440.58984,5039.779785,1214.609985,15.6,113.452171
28/07/2015,17630.26953,5089.209961,1224.599976,13.44,114.015884
29/07/2015,17751.39063,5111.72998,1229.599976,12.5,113.655472
30/07/2015,17745.98047,5128.779785,1232.069946,12.13,113.082558
31/07/2015,17689.85938,5128.279785,1238.680054,12.12,112.09375
03/08/2015,17598.19922,5115.379883,1231.790039,12.56,109.450813
04/08/2015,17550.68945,5105.549805,1228.849976,13,105.939217
05/08/2015,17540.4707,5139.939941,1231.75,12.51,106.641548
06/08/2015,17419.75,5056.439941,1215.849976,13.77,106.873604
07/08/2015,17373.38086,5043.540039,1206.900024,13.39,107.235649
10/08/2015,17615.16992,5101.799805,1222.670044,12.23,111.134445
11/08/2015,17402.83984,5036.790039,1211.140015,13.71,105.351234
12/08/2015,17402.50977,5044.390137,1208.97998,13.61,106.975708
13/08/2015,17408.25,5033.560059,1204.73999,13.49,106.892189
14/08/2015,17477.40039,5048.240234,1212.689941,12.83,107.644073
17/08/2015,17545.17969,5091.700195,1225.089966,13.02,108.758026
18/08/2015,17511.33984,5059.350098,1214.890015,13.79,108.145378
19/08/2015,17348.73047,5019.049805,1202.97998,15.25,106.762238
